add_admin_businesses_rls_policy.sql	"Admins can manage all businesses"	public.businesses
add_admin_can_create_deals_permission.sql	"Admins can create discounts when allowed"	public.trusted_partner_discounts
add_admin_can_create_deals_permission.sql	"Admins can delete discounts when allowed"	public.trusted_partner_discounts
add_admin_can_create_deals_permission.sql	"Admins can update discounts when allowed"	public.trusted_partner_discounts
add_admin_discounts_policy.sql	"Admin full access to trusted_partner_discounts"	public.trusted_partner_discounts
add_admin_insert_trusted_partners_policy.sql	"Admins can delete trusted_partners"	public.trusted_partners
add_admin_insert_trusted_partners_policy.sql	"Admins can insert trusted_partners"	public.trusted_partners
add_admin_insert_trusted_partners_policy.sql	"Admins can update trusted_partners"	public.trusted_partners
add_admin_policies.sql	"Admins can view all memberships"	public.memberships
add_admin_policies.sql	"Admins can view all profiles"	public.profiles
add_admin_promo_keys_table.sql	"admin_full_access_admin_promo_keys"	public.admin_promo_keys
add_admin_promo_keys_table.sql	"authenticated_read_admin_promo_keys"	public.admin_promo_keys
add_admin_promo_keys_table.sql	"authenticated_update_admin_promo_keys"	public.admin_promo_keys
add_chat_tables.sql	chat_conversations_insert	public.chat_conversations
add_chat_tables.sql	chat_conversations_select	public.chat_conversations
add_chat_tables.sql	chat_messages_insert	public.chat_messages
add_chat_tables.sql	chat_messages_select	public.chat_messages
add_city_filtering_for_deals.sql	"Members can view all active discounts by city"	trusted_partner_discounts
add_deal_authorization_delete_policies.sql	"Admins can delete deal authorizations"	deal_authorizations
add_deal_authorization_delete_policies.sql	"Members can delete their own deal authorizations"	deal_authorizations
add_deal_authorization_delete_policies.sql	"Trusted partners can delete deal authorizations"	deal_authorizations
add_deal_delete_policies.sql	"Admins can delete any deal"	trusted_partner_discounts
add_deal_delete_policies.sql	"Trusted partners can delete their own deals"	trusted_partner_discounts
add_deal_images_rls_policies.sql	"Admins can manage deal images"	storage.objects
add_deal_images_rls_policies.sql	"Members can view deal images"	storage.objects
add_deal_images_rls_policies.sql	"Trusted partners can delete deal images"	storage.objects
add_deal_images_rls_policies.sql	"Trusted partners can update deal images"	storage.objects
add_deal_images_rls_policies.sql	"Trusted partners can upload deal images"	storage.objects
add_deal_images_rls_policies.sql	"Trusted partners can view deal images"	storage.objects
