add_admin_promo_keys_table.sql	public.admin_promo_keys
add_chat_tables.sql	public.chat_conversations
add_chat_tables.sql	public.chat_messages
add_deal_expiry_management.sql	public.deal_expiry_notifications
add_intro_campaign_promotions.sql	public.promotion_participant_emails
add_paystack_fields_to_trusted_partners.sql	public.trusted_partners
add_promotions_part1_tables.sql	public.promotion_signups
add_promotions_part1_tables.sql	public.promotions
add_promotions_table.sql	public.promotion_signups
add_promotions_table.sql	public.promotions
add_tp_inquiries_table.sql	tp_inquiries
add_tp_member_keys_table.sql	public.tp_member_keys
apply_payment_flow_migration.sql	bill_approvals
apply_payment_flow_migration.sql	trusted_partner_bank_accounts
comprehensive_schema_with_rls.sql	public.businesses
comprehensive_schema_with_rls.sql	public.deal_authorizations
comprehensive_schema_with_rls.sql	public.memberships
comprehensive_schema_with_rls.sql	public.notifications
comprehensive_schema_with_rls.sql	public.payments
comprehensive_schema_with_rls.sql	public.processed_bills
comprehensive_schema_with_rls.sql	public.profiles
comprehensive_schema_with_rls.sql	public.subscriptions
comprehensive_schema_with_rls.sql	public.trusted_partner_bank_accounts
comprehensive_schema_with_rls.sql	public.trusted_partner_discounts
comprehensive_schema_with_rls.sql	public.trusted_partners
comprehensive_schema_with_rls.sql	public.user_qr_codes
create_admin_delete_tp_system.sql	public.archived_paystack_data
create_admin_delete_tp_system.sql	public.archived_pending_payments
create_admin_delete_tp_system.sql	public.archived_receipts
create_archived_members_table.sql	public.archived_members
create_calibration_receipts_table.sql	calibration_receipts
create_deal_receipts_table.sql	public.deal_receipts
create_recovery_sessions_table.sql	public.recovery_sessions
create_subscriptions_table.sql	public.subscriptions
deal_authorization_schema.sql	deal_authorizations
deal_authorization_schema.sql	member_receipts
deal_authorization_schema.sql	notifications
deal_authorization_schema.sql	virtual_receipts
fix_admin_delete_trusted_partner.sql	public.archived_paystack_data
fix_admin_delete_trusted_partner.sql	public.archived_pending_payments
fix_admin_delete_trusted_partner.sql	public.archived_receipts
full_reinstate.sql	bill_approvals
full_reinstate.sql	business_bills
full_reinstate.sql	business_logos
full_reinstate.sql	calibration_receipts
full_reinstate.sql	deal_authorizations
full_reinstate.sql	member_receipts
full_reinstate.sql	merchant_discounts
full_reinstate.sql	notifications
full_reinstate.sql	payments
full_reinstate.sql	public.businesses
full_reinstate.sql	public.memberships
full_reinstate.sql	public.merchant_discounts
full_reinstate.sql	public.merchants
full_reinstate.sql	public.payment_schedules
full_reinstate.sql	public.payments
full_reinstate.sql	public.profiles
full_reinstate.sql	public.subscription_renewals
full_reinstate.sql	public.subscriptions
full_reinstate.sql	public.trusted_partners
full_reinstate.sql	public.user_qr_codes
full_reinstate.sql	public.users
full_reinstate.sql	trusted_partner_bank_accounts
full_reinstate.sql	virtual_receipts
monitor_auto_renewal_health.sql	notifications_archive
recreate_payments_table.sql	public.payments
REV_01\add_missing_tables.sql	public.businesses
REV_01\add_missing_tables.sql	public.merchant_discounts
REV_01\add_missing_tables.sql	public.merchants
REV_01\add_missing_tables.sql	public.subscription_renewals
REV_01\add_missing_tables.sql	public.subscriptions
REV_01\apply_payment_flow_migration.sql	bill_approvals
REV_01\apply_payment_flow_migration.sql	trusted_partner_bank_accounts
REV_01\complete_signup_fix.sql	public.memberships
REV_01\complete_signup_fix.sql	public.profiles
REV_01\complete_signup_fix.sql	public.user_qr_codes
REV_01\complete_signup_fix.sql	public.users
REV_01\create_merchant_discounts_table.sql	public.merchant_discounts
REV_01\fix_business_bills_storage.sql	public.business_bills
REV_01\recreate_payments_table.sql	public.payments
REV_01\supabase_backup_working_scripts_20250925.sql	public.business_bills
REV_01\supabase_sql_fix.sql	public.business_bills
REV_01\temp_debug_policies.sql	public.business_bills
supabase\migrations\20240913000000_create_base_tables.sql	public.businesses
supabase\migrations\20240913000000_create_base_tables.sql	public.memberships
supabase\migrations\20240913000000_create_base_tables.sql	public.profiles
supabase\migrations\20240913000000_create_base_tables.sql	public.trusted_partners
supabase\migrations\20240913000000_create_base_tables.sql	public.users
supabase\migrations\20250917210000_create_payments_table.sql	payments
supabase\migrations\20250921100000_create_merchant_discounts_table.sql	merchant_discounts
supabase\migrations\20250921100001_populate_name_surname_from_qr_code.sql	public.user_qr_codes
supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	merchant_discounts
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	public.subscription_renewals
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	public.subscriptions
supabase\migrations\20250925000003_create_qr_codes_and_subscriptions.sql	public.user_qr_codes
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	business_logos
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	business_bills
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	bill_approvals
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	trusted_partner_bank_accounts
supabase\migrations\20250926000000_automatic_qr_payment_management.sql	public.payment_schedules
supabase\migrations\20250928100541_create_calibration_receipts_table.sql	calibration_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	deal_authorizations
supabase\migrations\20251010130000_create_deal_authorizations.sql	member_receipts
supabase\migrations\20251010130000_create_deal_authorizations.sql	notifications
supabase\migrations\20251010130000_create_deal_authorizations.sql	virtual_receipts
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	public.businesses
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	public.deal_authorizations
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	public.memberships
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	public.notifications
supabase\migrations\20251013223100_deploy_comprehensive_schema.sql	public.payments
