add_intro_campaign_promotions.sql	trg_normalize_promotion_participant_email
add_member_email_triggers.sql	on_deal_authorization_send_member_confirmation
add_member_email_triggers.sql	on_deal_receipt_send_member_payment_email
add_partner_terms_verification_trigger.sql	CREATE
add_partner_terms_verification_trigger.sql	enforce_partner_verification_trigger
add_push_notification_webhook_trigger.sql	on_notification_insert_send_push
add_tp_inquiries_table.sql	tp_inquiries_updated_at
add_tp_inquiry_admin_notification_trigger.sql	on
add_tp_inquiry_admin_notification_trigger.sql	on_tp_inquiry_insert_notify_admins
add_tp_payment_success_email_trigger.sql	on_deal_receipt_send_tp_payment_email
add_trusted_partner_key_and_banking.sql	trigger_set_tp_unique_key
apply_payment_flow_migration.sql	for
apply_payment_flow_migration.sql	to
apply_payment_flow_migration.sql	trigger_create_bill_approval
apply_payment_flow_migration.sql	trigger_update_bill_approval_status
apply_payment_flow_migration.sql	update_bill_approvals_updated_at
apply_payment_flow_migration.sql	update_trusted_partner_bank_accounts_updated_at
comprehensive_schema_with_rls.sql	update_businesses_updated_at
comprehensive_schema_with_rls.sql	update_deal_authorizations_updated_at
comprehensive_schema_with_rls.sql	update_memberships_updated_at
comprehensive_schema_with_rls.sql	update_notifications_updated_at
comprehensive_schema_with_rls.sql	update_payments_updated_at
comprehensive_schema_with_rls.sql	update_processed_bills_updated_at
comprehensive_schema_with_rls.sql	update_profiles_updated_at
comprehensive_schema_with_rls.sql	update_subscriptions_updated_at
comprehensive_schema_with_rls.sql	update_trusted_partner_bank_accounts_updated_at
comprehensive_schema_with_rls.sql	update_trusted_partner_discounts_updated_at
comprehensive_schema_with_rls.sql	update_trusted_partners_updated_at
comprehensive_schema_with_rls.sql	update_user_qr_codes_updated_at
create_deal_receipts_table.sql	update_deal_receipts_updated_at_trigger
enforce_three_roles_only.sql	for
enforce_three_roles_only.sql	to
enforce_three_roles_only.sql	trigger_handle_profile_role_assignment
enforce_three_roles_only.sql	trigger_handle_user_role_assignment
fix_member_signup_trigger.sql	trigger_automatic_role_assignment
fix_pre_publish_security.sql	for
fix_pre_publish_security.sql	validate_deal_status_transition
fix_pre_publish_security.sql	validate_member_deal_update
fix_signup_trigger_v2.sql	on_auth_user_created
full_reinstate.sql	for
full_reinstate.sql	on
full_reinstate.sql	to
full_reinstate.sql	trigger_automatic_role_assignment
full_reinstate.sql	trigger_create_bill_approval
full_reinstate.sql	trigger_payment_completion
full_reinstate.sql	trigger_update_bill_approval_status
full_reinstate.sql	trigger_update_payments_updated_at
full_reinstate.sql	update_bill_approvals_updated_at
full_reinstate.sql	update_business_bills_updated_at
full_reinstate.sql	update_business_logos_updated_at
full_reinstate.sql	update_deal_authorizations_updated_at
full_reinstate.sql	update_merchant_discounts_updated_at_trigger
full_reinstate.sql	update_trusted_partner_bank_accounts_updated_at
full_reinstate.sql	update_trusted_partner_discounts_updated_at_trigger
install_correct_trigger.sql	handle_new_user_role_assignment_trigger
REV_01\apply_payment_flow_migration.sql	for
REV_01\apply_payment_flow_migration.sql	to
REV_01\apply_payment_flow_migration.sql	trigger_create_bill_approval
REV_01\apply_payment_flow_migration.sql	trigger_update_bill_approval_status
REV_01\apply_payment_flow_migration.sql	update_bill_approvals_updated_at
REV_01\apply_payment_flow_migration.sql	update_trusted_partner_bank_accounts_updated_at
REV_01\create_merchant_discounts_table.sql	to
REV_01\create_merchant_discounts_table.sql	update_merchant_discounts_updated_at_trigger
REV_01\enforce_three_roles_only.sql	for
REV_01\enforce_three_roles_only.sql	to
REV_01\enforce_three_roles_only.sql	trigger_handle_profile_role_assignment
REV_01\enforce_three_roles_only.sql	trigger_handle_user_role_assignment
REV_01\fix_business_bills_storage.sql	update_business_bills_updated_at
REV_01\supabase_backup_working_scripts_20250925.sql	update_business_bills_updated_at
REV_01\supabase_sql_fix.sql	update_business_bills_updated_at
REV_01\temp_debug_policies.sql	update_business_bills_updated_at
supabase\migrations\20250917210000_create_payments_table.sql	trigger_update_payments_updated_at
supabase\migrations\20250919170000_create_automatic_role_assignment_trigger.sql	trigger_automatic_role_assignment
supabase\migrations\20250921100000_create_merchant_discounts_table.sql	to
supabase\migrations\20250921100000_create_merchant_discounts_table.sql	update_merchant_discounts_updated_at_trigger
supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	to
supabase\migrations\20250921195740_ensure_merchant_discounts_table.sql	update_merchant_discounts_updated_at_trigger
supabase\migrations\20250924170000_rename_merchant_discounts_to_trusted_partner_discounts.sql	update_trusted_partner_discounts_updated_at_trigger
supabase\migrations\20250925164403_create_business_logos_table_and_storage.sql	update_business_logos_updated_at
supabase\migrations\20250925170000_create_business_bills_table_and_storage.sql	update_business_bills_updated_at
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	for
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	to
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	trigger_create_bill_approval
supabase\migrations\20250925193346_add_trusted_partner_payment_flow.sql	trigger_update_bill_approval_status
